No.,IPV,Time,Source,Destination,Source Port,Destination Port,Length,Protocol,Human
343,4,6.079115,3232281142,3232281089,49777,53,56,TCP,0
344,4,6.079127,3232281142,3232281089,49777,53,97,DNS,0
345,4,6.079268,3232281142,3232281089,49778,53,56,TCP,0
346,6,6.079285,3232281142,3232281089,49778,53,97,DNS,0
347,6,6.080555,1746043628,3232281142,443,49768,1506,TLSv1.3,0
348,6,6.080555,1746043628,3232281142,443,49768,787,TLSv1.3,1
349,6,6.080555,2902291547,3232281142,443,49399,93,TLSv1.2,1
350,6,6.080555,3232281089,3232281142,53,49769,54,TCP,0
351,6,6.080555,3232281089,3232281142,53,49770,54,TCP,0
352,6,6.080555,580244451,3232281142,443,65451,54,TCP,0
353,6,6.080555,3353877079,3232281142,443,49773,1506,TLSv1.2,0
354,4,6.080555,3353877079,3232281142,443,49773,1506,TCP,0
355,6,6.080555,3353877079,3232281142,443,49773,1506,TCP,0
356,6,6.080555,3353877079,3232281142,443,49773,1048,TLSv1.2,0
357,6,6.080555,3232281089,3232281142,53,49777,54,TCP,0
358,4,6.080555,3232281089,3232281142,53,49777,54,TCP,0
359,6,6.080555,3232281089,3232281142,53,49778,54,TCP,0
360,4,6.080555,3232281089,3232281142,53,49778,54,TCP,0
361,6,6.080755,3232281142,1746043628,49768,443,54,TCP,0
362,6,6.080764,3232281142,2902291547,49399,443,93,TLSv1.2,1
363,6,6.080784,3232281142,580244451,65451,443,216,TLSv1.2,1
364,6,6.080794,3232281142,3353877079,49773,443,54,TCP,0
365,4,6.080959,3232281142,3232281089,49769,53,54,TCP,0
366,4,6.081013,3232281142,3232281089,49770,53,54,TCP,0
367,4,6.081341,3232281142,1746043628,49768,443,118,TLSv1.3,0
368,6,6.081813,3232281089,3232281142,53,49777,163,DNS,0
369,6,6.081813,3232281089,3232281142,53,49778,156,DNS,0
370,4,6.081813,3232281089,3232281142,53,49772,269,DNS,0
371,4,6.081865,3232281142,580244451,65446,443,457,TLSv1.2,1
372,4,6.081957,3232281142,580244451,65446,443,1466,TCP,0
373,6,6.081957,3232281142,580244451,65446,443,1466,TCP,0
374,6,6.081957,3232281142,580244451,65446,443,1466,TCP,0
375,6,6.081957,3232281142,580244451,65446,443,1466,TCP,0
376,6,6.081957,3232281142,580244451,65446,443,1466,TCP,0
377,4,6.081957,3232281142,580244451,65446,443,1227,TLSv1.2,1
378,4,6.082125,3232281142,3232281089,49778,53,54,TCP,0
379,4,6.0822,3232281142,3232281089,49772,53,54,TCP,0
