number,source_port,destination_port,protocol,length,length_deviation,delta_time,flow_average_length,flow_length_deviation,flow_delta_time,human
3933,51720,443,6,54,710.42775020,0.00013494,60.00000000,12.00000000,0.11373591,0
3934,51720,443,6,571,193.24216301,0.00076509,230.33333333,511.00000000,0.00076509,0
3935,443,51721,6,66,698.19169496,0.00135803,0,0,0,0
3936,51710,443,6,1474,709.99060052,0.00005794,437.00000000,1166.62500000,0.12044406,0
3937,51710,443,6,341,423.19472723,0.00000000,427.40000000,96.00000000,0.00000000,1
3938,51721,443,6,54,710.08429019,0.00019789,60.00000000,12.00000000,0.11501384,0
3939,51721,443,6,316,447.89903470,0.00099611,145.33333333,256.00000000,0.00099611,0
3940,443,51714,6,54,709.78221179,0.01106405,444.30000000,433.66666667,0.03031015,0
3941,443,51716,6,1506,742.40286832,0.00233197,479.28571429,1197.83333333,0.07271004,0
3942,443,51716,6,1506,742.20933264,0.00000000,607.62500000,1026.71428571,0.00000000,0
3943,443,51716,6,1506,742.01589784,0.00000000,707.44444444,898.37500000,0.00000000,0
3944,443,51716,6,1506,741.82256384,0.00000000,787.30000000,798.55555556,0.00000000,0
3945,443,51716,6,1506,741.62933055,0.00000000,852.63636364,718.70000000,0.00000000,0
3946,443,51716,6,1506,741.43619792,0.00000000,907.08333333,653.36363636,0.00000000,0
3947,443,51716,6,115,649.75683416,0.00000000,846.15384615,792.08333333,0.00000000,1
3948,51716,443,6,54,710.58771473,0.00012589,510.66666667,513.75000000,0.10216498,0
3949,443,51717,6,877,112.59718970,0.00417113,250.00000000,783.75000000,0.11063409,1
3950,51584,443,6,54,710.43210198,0.01852989,656.62962963,625.80769231,0.07637405,0
3951,51717,443,6,1506,741.75266580,0.00866699,598.14285714,1059.16666667,0.16749501,0
3952,51717,443,6,380,384.44019761,0.00000000,570.87500000,218.14285714,0.00000000,1
3953,51716,443,6,1506,741.65973486,0.00017595,610.20000000,995.33333333,0.03154397,0
3954,51716,443,6,352,412.53300416,0.00000000,586.72727273,258.20000000,0.00000000,1
3955,443,51715,6,878,113.57417511,0.01930714,455.70000000,469.22222222,0.07275009,1
3956,443,51714,6,877,112.54467532,0.00268793,483.63636364,432.70000000,0.05599689,1
3957,51714,443,6,1506,741.51545053,0.00399208,748.15384615,821.00000000,0.08953500,0
3958,51714,443,6,390,374.67705088,0.00000000,722.57142857,358.15384615,0.00000000,1
3959,443,51717,6,54,710.57980794,0.00265098,217.33333333,196.00000000,0.05601096,0
3960,443,51716,6,54,710.39543332,0.00028801,789.57142857,792.15384615,0.06059599,0
3961,443,51716,6,1450,685.78884565,0.00519204,833.60000000,660.42857143,0.00519204,1
3962,443,51717,6,1489,724.61099585,0.00146604,399.00000000,1271.66666667,0.00694609,1
3963,443,51714,6,54,710.57687322,0.01938701,447.83333333,429.63636364,0.03297615,0
3964,443,51718,6,54,710.39269051,0.00767589,60.00000000,12.00000000,0.11473203,0
3965,443,51719,6,54,710.20860327,0.00151610,60.00000000,12.00000000,0.11488318,0
3966,443,51718,6,1474,709.97538860,0.00000000,531.33333333,1414.00000000,0.00151610,0
3967,443,51718,6,1474,709.79150479,0.00000000,767.00000000,942.66666667,0.00000000,0
3968,443,51718,6,514,250.39228379,0.00000000,716.40000000,253.00000000,0.00000000,0
3969,443,51719,6,1474,709.67253430,0.00000000,531.33333333,1414.00000000,0.00000000,0
3970,443,51719,6,1474,709.48887164,0.00000000,767.00000000,942.66666667,0.00000000,0
3971,443,51719,6,514,250.69469599,0.00000000,716.40000000,253.00000000,0.00000000,0
3972,51718,443,6,54,710.62984997,0.00027585,122.50000000,91.33333333,0.11522698,0
3973,51719,443,6,54,710.44608223,0.00010514,122.50000000,91.33333333,0.11419106,0
3974,443,51720,6,54,710.26240951,0.00077796,60.00000000,12.00000000,0.11389804,0
3975,443,51720,6,1474,709.92116826,0.00140285,531.33333333,1414.00000000,0.00140285,0
3976,443,51720,6,1474,709.73772610,0.00000000,767.00000000,942.66666667,0.00000000,0
3977,443,51720,6,514,250.44562129,0.00000000,716.40000000,253.00000000,0.00000000,0
3978,51720,443,6,54,710.38094008,0.00006413,186.25000000,176.33333333,0.11446500,0
3979,51718,443,6,180,584.19752130,0.00104094,134.00000000,57.50000000,0.00339103,0
3980,443,51710,6,54,710.04672173,0.00020695,634.09090909,638.10000000,0.11875701,0
3981,51719,443,6,180,583.86348387,0.00012612,134.00000000,57.50000000,0.00361896,0
3982,51720,443,6,180,583.71284830,0.00083995,185.00000000,6.25000000,0.00221395,0
3983,51719,443,6,1004,240.43770957,0.00000596,279.00000000,870.00000000,0.00084591,1
3984,51715,443,6,54,709.62429087,0.00009704,546.50000000,537.27272727,0.15234709,0
3985,51718,443,6,862,98.55864914,0.00003600,255.33333333,728.00000000,0.00131202,1
